2020-09-24 nBSQ in PMMA grosse Substrate INT
Wavelength (nm)	No1 5pct nBSQ	No2 1pct nBSQ	No3 0.5pct nBSQ
1411.418579	0.875595	0.874753	0.874697	
1414.863892	0.876366	0.874251	0.875644	
1418.309570	0.875931	0.877311	0.877918	
1421.755615	0.876822	0.876026	0.875581	
1425.202148	0.878822	0.877379	0.878730	
1428.648926	0.878062	0.876801	0.877456	
1432.096191	0.878571	0.877799	0.878632	
1435.543701	0.876759	0.877275	0.877720	
1438.991821	0.877106	0.877915	0.879221	
1442.440186	0.879413	0.878051	0.877121	
1445.888916	0.884328	0.880214	0.882119	
1449.338135	0.881043	0.878921	0.879994	
1452.787598	0.883189	0.883916	0.883026	
1456.237549	0.881596	0.879223	0.882039	
1459.687988	0.884150	0.881028	0.882797	
1463.138794	0.881410	0.877375	0.878029	
1466.589966	0.884932	0.881363	0.883448	
1470.041626	0.879723	0.879474	0.883462	
1473.493652	0.882254	0.880558	0.884879	
1476.946045	0.880061	0.878795	0.881515	
