2021-07-05 SQIB in PMMA 40mgmL medium spin speed dried at 60C
Wavelength (nm)	No1 10pct	No2 4pct	No3 2pct	No4 1pct	No5 0.5pct
585.052063	0.599248	0.729814	0.784979	0.803878	0.857337	
586.650024	0.579996	0.717991	0.778135	0.800059	0.855473	
588.248047	0.559366	0.705318	0.771234	0.796462	0.852778	
589.845947	0.538577	0.691840	0.764054	0.792520	0.851085	
591.443726	0.517239	0.677999	0.756717	0.788944	0.848306	
593.041565	0.495394	0.663638	0.748634	0.783751	0.845946	
594.639282	0.473371	0.648957	0.740775	0.779944	0.843376	
596.236877	0.451465	0.634605	0.733522	0.776463	0.841377	
597.834473	0.430665	0.620577	0.726406	0.772006	0.839495	
599.432007	0.409922	0.606233	0.719223	0.769055	0.837576	
601.029419	0.390078	0.592294	0.712421	0.765656	0.835656	
602.626770	0.371736	0.578874	0.706213	0.762322	0.834054	
604.224060	0.354666	0.565813	0.699876	0.759646	0.832713	
605.821350	0.338905	0.554145	0.694665	0.757084	0.831162	
607.418518	0.324729	0.542863	0.689338	0.754644	0.830153	
609.015564	0.312261	0.532355	0.683755	0.752509	0.828570	
610.612671	0.300743	0.522324	0.678747	0.749651	0.827494	
612.209595	0.290575	0.513540	0.673895	0.746607	0.825974	
613.806519	0.281797	0.504269	0.667927	0.744037	0.824137	
615.403259	0.273446	0.495167	0.661389	0.740412	0.822069	
617.000061	0.265395	0.485137	0.654159	0.735612	0.819068	
618.596741	0.256526	0.473860	0.645210	0.729736	0.815486	
620.193298	0.247003	0.461425	0.634922	0.722929	0.811121	
621.789856	0.236186	0.446298	0.622495	0.715115	0.806253	
623.386292	0.224231	0.428814	0.608010	0.705759	0.800621	
624.982666	0.210996	0.409465	0.591454	0.694481	0.793171	
626.578979	0.196994	0.388358	0.572673	0.681596	0.784851	
628.175171	0.182099	0.365684	0.551800	0.667150	0.775599	
629.771362	0.167365	0.341748	0.528833	0.651495	0.765426	
631.367371	0.152899	0.317509	0.504676	0.633985	0.753959	
632.963379	0.138830	0.293808	0.479783	0.615252	0.741078	
634.559265	0.125833	0.270257	0.453565	0.595114	0.727016	
636.155151	0.113795	0.247737	0.427414	0.574148	0.712194	
637.750854	0.102907	0.226792	0.401567	0.552552	0.696603	
639.346558	0.093520	0.207537	0.376557	0.530910	0.680694	
640.942139	0.085126	0.190387	0.353216	0.509318	0.664358	
642.537659	0.077827	0.175167	0.331435	0.488313	0.648395	
644.133057	0.071826	0.161853	0.311856	0.469332	0.633185	
645.728394	0.066632	0.150669	0.294354	0.451692	0.619413	
647.323669	0.062320	0.141537	0.280231	0.436958	0.606663	
648.918823	0.058934	0.134352	0.268646	0.425061	0.596505	
650.513977	0.056374	0.128874	0.260418	0.415826	0.588719	
652.109009	0.054498	0.125570	0.255334	0.410614	0.584301	
653.703918	0.053422	0.124132	0.253603	0.408988	0.582829	
655.298706	0.053134	0.124957	0.256239	0.412293	0.586344	
656.893433	0.053570	0.127834	0.262512	0.419688	0.592796	
658.488159	0.054598	0.131611	0.270277	0.428107	0.600224	
660.082703	0.056495	0.137359	0.280552	0.439472	0.610086	
661.677185	0.060005	0.146867	0.297075	0.457730	0.624550	
663.271606	0.064748	0.160065	0.318833	0.480883	0.643138	
664.865906	0.070450	0.176005	0.344294	0.505884	0.663042	
666.460144	0.077741	0.194738	0.372560	0.533104	0.683608	
