2021-07-05 SQIB 5mg/mL no annealing high = medium spin speed
Wavelength (nm)	No8 SQIB neat	No9 SQIB neat
819.001831	0.826954	0.784789	
820.584656	0.827340	0.786695	
822.167358	0.828667	0.787498	
823.750000	0.828811	0.789511	
825.332336	0.830137	0.790689	
826.914673	0.830167	0.792036	
828.496704	0.831439	0.793368	
830.078735	0.831975	0.794469	
831.660522	0.832608	0.795421	
833.242188	0.834194	0.796309	
834.823730	0.834222	0.798066	
836.405090	0.834759	0.798694	
837.986206	0.835138	0.799751	
839.567261	0.835439	0.800789	
841.148254	0.835947	0.801560	
842.729004	0.835707	0.802444	
844.309570	0.837009	0.803422	
845.890015	0.837449	0.805139	
847.470398	0.838282	0.805090	
849.050476	0.838546	0.806136	
850.630493	0.839855	0.807582	
852.210327	0.839460	0.807244	
853.790039	0.839823	0.808368	
855.369507	0.839611	0.809159	
856.948914	0.839968	0.809454	
858.528137	0.839541	0.809862	
860.107239	0.840103	0.811941	
861.686035	0.840725	0.811759	
863.264832	0.841516	0.812882	
864.843384	0.842530	0.813130	
866.421753	0.842408	0.813131	
868.000000	0.843120	0.813979	
869.578125	0.843259	0.814973	
871.156067	0.844189	0.815629	
872.733765	0.842977	0.817129	
874.311401	0.844172	0.817055	
875.888855	0.844563	0.817384	
877.466125	0.844584	0.817423	
879.043274	0.844770	0.818815	
880.620239	0.846403	0.819364	
882.196960	0.846043	0.820057	
883.773560	0.845088	0.820078	
885.349976	0.845359	0.821068	
886.926270	0.846190	0.820789	
888.502319	0.846477	0.822364	
890.078308	0.846621	0.821566	
891.654114	0.847369	0.822302	
893.229675	0.847726	0.823268	
894.805054	0.847270	0.823670	
896.380371	0.847870	0.823527	
897.955444	0.848377	0.824605	
899.530396	0.848525	0.823904	
901.105103	0.847934	0.825227	
902.679565	0.848477	0.824741	
904.254028	0.848666	0.826103	
905.828247	0.848201	0.825656	
907.402222	0.849428	0.826527	
908.976196	0.848379	0.826426	
910.549805	0.849203	0.826466	
912.123352	0.848477	0.827357	
913.696655	0.848818	0.827986	
915.269836	0.849409	0.827833	
916.842773	0.850823	0.828124	
918.415649	0.851180	0.828937	
919.988159	0.850731	0.828350	
921.560669	0.850812	0.828014	
923.132935	0.850111	0.828803	
924.704956	0.851176	0.831055	
926.276855	0.851440	0.830669	
927.848511	0.851923	0.831042	
929.420105	0.851716	0.830098	
930.991394	0.851787	0.832633	
932.562622	0.852213	0.830844	
934.133606	0.851370	0.833019	
935.704407	0.850906	0.832339	
937.275024	0.852099	0.832856	
938.845398	0.852437	0.833569	
940.415649	0.852078	0.833348	
941.985657	0.851200	0.834671	
943.555481	0.850457	0.833857	
945.125183	0.850898	0.833630	
946.694641	0.851553	0.833358	
948.263977	0.851978	0.834713	
949.833008	0.854103	0.834043	
951.401978	0.851799	0.834533	
952.970581	0.853463	0.834238	
954.539185	0.854617	0.835658	
956.107544	0.854232	0.836761	
957.675659	0.854298	0.836655	
959.243530	0.854714	0.836349	
960.811340	0.854792	0.835952	
