SQIB isotropic	n	k	e1	e2												
656.89343	1.80663	1.56974	0.79982	5.67188
658.48816	1.83215	1.57694	0.87002	5.77839
660.0827	1.85837	1.58397	0.94455	5.8872
661.67719	1.88532	1.59081	1.02378	5.99837
663.27161	1.91307	1.59741	1.10813	6.11193
664.86591	1.94167	1.60375	1.19805	6.22791
666.46014	1.97117	1.6098	1.29405	6.34635
668.05432	2.00165	1.61549	1.39679	6.46729
669.64832	2.03322	1.62076	1.5071	6.59071
671.24231	2.06595	1.62545	1.62607	6.71618
672.83612	2.09985	1.62941	1.75439	6.843
674.42987	2.13489	1.63251	1.89266	6.97048
676.02356	2.17107	1.63468	2.04137	7.09798
677.61713	2.20835	1.6358	2.20099	7.22485
679.21057	2.24674	1.63581	2.37196	7.35045
680.80402	2.28621	1.63463	2.55476	7.47419
682.39734	2.32679	1.63218	2.74992	7.59548
683.99048	2.36849	1.62841	2.95805	7.71374
685.58362	2.41139	1.62322	3.17996	7.82842
687.17664	2.45557	1.61652	3.4167	7.93898
688.76947	2.50125	1.60817	3.67005	8.04487
690.3623	2.54868	1.59771	3.94311	8.14411
691.95502	2.59776	1.58454	4.23761	8.23254
693.54761	2.64823	1.56821	4.55382	8.30593
695.14014	2.69973	1.54834	4.89117	8.3602
696.73254	2.7519	1.52464	5.24842	8.39134
698.32483	2.80435	1.49687	5.62376	8.39549
699.91705	2.85666	1.4648	6.01484	8.36888
701.50915	2.90838	1.42826	6.41875	8.30785
703.1012	2.95904	1.38708	6.8319	8.20888
704.69305	3.00811	1.34112	7.25013	8.06849
706.28485	3.05499	1.29024	7.66827	7.88337
707.87659	3.09897	1.23432	8.08003	7.65026
709.46814	3.13903	1.1733	8.47686	7.36605
711.05963	3.17378	1.1077	8.84586	7.0312
712.651	3.20247	1.03877	9.17676	6.65323
714.24225	3.22485	0.96752	9.46358	6.24024
715.83337	3.24085	0.89485	9.70239	5.80014
717.42444	3.25047	0.82152	9.8907	5.34066
719.01544	3.25377	0.74825	10.02716	4.86927
720.60626	3.25085	0.67572	10.11139	4.39333
722.19696	3.24183	0.60458	10.14395	3.91991
723.7876	3.22691	0.53549	10.12618	3.45595
725.37805	3.2063	0.46911	10.06032	3.0082
726.96844	3.18031	0.40613	9.94946	2.58322
728.55872	3.14934	0.34727	9.79773	2.18737
730.14893	3.11394	0.29334	9.61055	1.82687
731.73895	3.075	0.24516	9.39553	1.50774
733.32892	3.03403	0.2031	9.16409	1.2324
734.91876	2.99215	0.16673	8.92518	0.99777
736.50842	2.95009	0.13563	8.68461	0.80024
738.09802	2.90839	0.1094	8.44675	0.63634
739.68756	2.86752	0.08765	8.215	0.50266
741.27692	2.82789	0.07	7.99205	0.39587
742.86615	2.78983	0.05605	7.77999	0.31274
744.45532	2.75363	0.04541	7.58039	0.25011
746.04431	2.71953	0.03767	7.39444	0.20489
747.63318	2.68774	0.03238	7.22289	0.17407
749.22199	2.65837	0.0291	7.0661	0.15473
750.81067	2.63151	0.02736	6.92407	0.14401
752.39917	2.60713	0.02668	6.79639	0.13912
753.98761	2.58513	0.02656	6.68216	0.13734
755.57587	2.56523	0.02652	6.57969	0.13607
757.16406	2.54695	0.0263	6.48625	0.13399
758.75214	2.52995	0.02591	6.39996	0.13111
760.34003	2.51401	0.02536	6.31962	0.12753
761.92786	2.49899	0.02468	6.24435	0.12335
763.5155	2.48476	0.02387	6.17346	0.11864
765.10315	2.47121	0.02296	6.10636	0.11349
766.69055	2.45827	0.02197	6.0426	0.108
768.27783	2.44586	0.0209	5.98179	0.10223
769.86505	2.43392	0.01978	5.92359	0.09627
771.45203	2.42241	0.01862	5.86774	0.09019
773.039	2.41129	0.01743	5.814	0.08408
774.62579	2.40051	0.01625	5.76217	0.078
776.21246	2.39005	0.01507	5.71209	0.07203
777.79901	2.37988	0.01392	5.66363	0.06624
779.38538	2.36999	0.01281	5.61669	0.06069
780.97168	2.36037	0.01175	5.57119	0.05546
782.55786	2.35101	0.01075	5.52712	0.05055
784.14386	2.34191	0.00981	5.48444	0.04596
785.72974	2.33306	0.00893	5.44308	0.04167
787.31549	2.32445	0.0081	5.40299	0.03768
788.90112	2.31607	0.00733	5.36412	0.03396
790.48663	2.30791	0.00661	5.32642	0.03051
792.07196	2.29997	0.00594	5.28984	0.02732
793.65717	2.29224	0.00531	5.25434	0.02436
795.24225	2.28471	0.00474	5.21987	0.02164
796.82721	2.27737	0.0042	5.1864	0.01914
798.41199	2.27022	0.00371	5.15388	0.01685
799.9967	2.26325	0.00326	5.12228	0.01476
801.58118	2.25645	0.00285	5.09156	0.01285
803.16565	2.24982	0.00247	5.0617	0.01113
804.74988	2.24336	0.00213	5.03267	0.00957
806.33398	2.23706	0.00183	5.00443	0.00817
807.91797	2.23091	0.00155	4.97695	0.00692
809.50183	2.22491	0.0013	4.95022	0.0058
811.08551	2.21906	0.00109	4.92421	0.00482
812.66907	2.21334	8.94E-4	4.89889	0.00396
814.2525	2.20777	7.27E-4	4.87423	0.00321
815.83575	2.20233	5.82E-4	4.85023	0.00256
817.41888	2.19701	4.58E-4	4.82686	0.00201
819.00183	2.19182	3.53E-4	4.80409	0.00155
820.58466	2.18676	2.66E-4	4.78191	0.00116
822.16736	2.18181	1.94E-4	4.76031	8.48E-4
823.75	2.17698	1.37E-4	4.73925	5.97E-4
825.33234	2.17226	9.3E-5	4.71873	4.02E-4
826.91467	2.16765	5.9E-5	4.69872	2.56E-4
828.4967	2.16315	3.5E-5	4.67921	1.5E-4
830.07874	2.15875	1.8E-5	4.66019	7.9E-5
831.66052	2.15444	8E-6	4.64163	3.5E-5
833.24219	2.15024	3E-6	4.62353	1.1E-5
834.82373	2.14613	0	4.60585	2E-6
836.40509	2.1421	0	4.5886	0
837.98621	2.13816	0	4.57174	0
839.56726	2.13431	0	4.55527	0
841.14825	2.13053	0	4.53915	0
842.729	2.12683	0	4.52339	0
844.30957	2.1232	0	4.50796	0
845.89001	2.11964	0	4.49286	0
847.4704	2.11615	0	4.47807	0
849.05048	2.11272	0	4.46359	0
850.63049	2.10936	0	4.4494	0
852.21033	2.10606	0	4.43549	0
853.79004	2.10282	0	4.42185	0
855.36951	2.09964	0	4.40848	0
856.94891	2.09651	0	4.39537	0
858.52814	2.09344	0	4.38251	0
860.10724	2.09043	0	4.36988	0
861.68603	2.08746	0	4.3575	0
863.26483	2.08455	0	4.34534	0
864.84338	2.08168	0	4.3334	0
866.42175	2.07887	0	4.32168	0
868	2.07609	0	4.31016	0
869.57813	2.07337	0	4.29885	0
871.15607	2.07069	0	4.28774	0
872.73376	2.06805	0	4.27682	0
874.3114	2.06545	0	4.26609	0
875.88886	2.0629	0	4.25553	0
877.46613	2.06038	0	4.24516	0
879.04327	2.0579	0	4.23496	0
880.62024	2.05546	0	4.22492	0
882.19696	2.05306	0	4.21505	0
883.77356	2.05069	0	4.20534	0
885.34998	2.04836	0	4.19579	0
886.92627	2.04607	0	4.18639	0
888.50232	2.0438	0	4.17713	0
890.07831	2.04157	0	4.16802	0
891.65411	2.03938	0	4.15905	0
893.22968	2.03721	0	4.15022	0
894.80505	2.03507	0	4.14153	0
896.38037	2.03297	0	4.13296	0
897.95544	2.03089	0	4.12453	0
899.5304	2.02885	0	4.11622	0
