;Filter 1;Filter 2
filter glass type;UG5;BG39
Reflection factor  P;0.910;0.910
Reference thickness;1.00;1.00
Filter thickness   d;3.000;3.000
?[nm];ti 1;ti 2
925;2.97E-01;2.03E-16
926;2.97E-01;2.14E-16
927;2.98E-01;2.26E-16
928;2.99E-01;2.38E-16
929;2.99E-01;2.53E-16
930;3.00E-01;2.68E-16
931;3.00E-01;2.82E-16
932;3.01E-01;2.95E-16
933;3.01E-01;3.10E-16
934;3.02E-01;3.25E-16
935;3.02E-01;3.43E-16
936;3.03E-01;3.62E-16
937;3.04E-01;3.83E-16
938;3.05E-01;4.06E-16
939;3.06E-01;4.36E-16
940;3.07E-01;4.68E-16
941;3.08E-01;4.94E-16
942;3.09E-01;5.22E-16
943;3.11E-01;5.55E-16
944;3.12E-01;5.89E-16
945;3.14E-01;6.27E-16
946;3.15E-01;6.67E-16
947;3.16E-01;7.07E-16
948;3.17E-01;7.49E-16
949;3.17E-01;8.05E-16
950;3.18E-01;8.64E-16
951;3.19E-01;9.14E-16
952;3.20E-01;9.67E-16
953;3.21E-01;1.03E-15
954;3.22E-01;1.09E-15
955;3.22E-01;1.17E-15
956;3.23E-01;1.26E-15
957;3.23E-01;1.35E-15
958;3.24E-01;1.44E-15
959;3.24E-01;1.53E-15
960;3.25E-01;1.62E-15
961;3.26E-01;1.74E-15
962;3.28E-01;1.87E-15
963;3.30E-01;1.99E-15
964;3.31E-01;2.12E-15
965;3.33E-01;2.28E-15
966;3.34E-01;2.45E-15
967;3.35E-01;2.62E-15
968;3.36E-01;2.79E-15
969;3.36E-01;2.99E-15
970;3.37E-01;3.20E-15
971;3.38E-01;3.42E-15
972;3.39E-01;3.65E-15
973;3.40E-01;3.94E-15
974;3.41E-01;4.25E-15
975;3.42E-01;4.55E-15
976;3.43E-01;4.87E-15
977;3.44E-01;5.22E-15
978;3.45E-01;5.60E-15
979;3.46E-01;6.00E-15
980;3.47E-01;6.42E-15
981;3.49E-01;6.90E-15
982;3.50E-01;7.40E-15
983;3.52E-01;7.97E-15
984;3.54E-01;8.57E-15
985;3.55E-01;9.15E-15
986;3.56E-01;9.77E-15
987;3.57E-01;1.05E-14
988;3.58E-01;1.14E-14
989;3.59E-01;1.23E-14
990;3.60E-01;1.32E-14
991;3.61E-01;1.41E-14
992;3.61E-01;1.51E-14
993;3.62E-01;1.63E-14
994;3.63E-01;1.77E-14
995;3.64E-01;1.89E-14
996;3.65E-01;2.03E-14
997;3.65E-01;2.18E-14
998;3.66E-01;2.33E-14
999;3.67E-01;2.53E-14
1000;3.68E-01;2.73E-14
1001;3.69E-01;2.95E-14
1002;3.70E-01;3.18E-14
1003;3.71E-01;3.44E-14
1004;3.72E-01;3.72E-14
1005;3.73E-01;3.96E-14
1006;3.74E-01;4.21E-14
1007;3.75E-01;4.57E-14
1008;3.76E-01;4.96E-14
